ParametersID,ParameterName,ParameterNumberValue,ParameterUnit,ParameterNonNumberValue,assay_AssayID,assay_publication_DOI
1275025,Concentration desferal,50,micromolar,,218,10.1021/acs.est.5b01041
1275026,particle concentration,8,milligrams/liter,,219,10.1021/acs.est.5b01041
1275027,Concentration sodium chloride,250,millimolar,,219,10.1021/acs.est.5b01041
1275028,pH,7,pH,,219,10.1021/acs.est.5b01041
1275029,Light,NULL,,Simulated Sunlight,219,10.1021/acs.est.5b01041
1275030,Concentration desferal,50,micromolar,,219,10.1021/acs.est.5b01041
1275031,particle concentration,0,milligrams/liter,,220,10.1021/acs.est.5b01041
1275032,pH,7,,,220,10.1021/acs.est.5b01041
1275033,Light,NULL,,Simulated Sunlight,220,10.1021/acs.est.5b01041
1275034,particle concentration,8,milligrams/liter,,221,10.1021/acs.est.5b01041
1275035,Concentration sodium chloride,80,millimolar,,221,10.1021/acs.est.5b01041
1275036,pH,7,pH,,221,10.1021/acs.est.5b01041
1275037,Light,NULL,,Simulated Sunlight,221,10.1021/acs.est.5b01041
1275038,particle concentration,8,milligrams/liter,,222,10.1021/acs.est.5b01041
1275039,Concentration sodium chloride,150,millimolar,,222,10.1021/acs.est.5b01041
1275040,pH,7,pH,,222,10.1021/acs.est.5b01041
1275041,Light,NULL,,Simulated Sunlight,222,10.1021/acs.est.5b01041
1275042,particle concentration,8,milligrams/liter,,223,10.1021/acs.est.5b01041
1275043,Concentration sodium chloride,250,millimolar,,223,10.1021/acs.est.5b01041
1275044,pH,7,pH,,223,10.1021/acs.est.5b01041
1275045,Light,NULL,,Simulated Sunlight,223,10.1021/acs.est.5b01041
1275046,particle concentration,0.5,parts per million,,1,10.1016/j.neuro.2014.08.010
1275047,Duration Exposure,18,hours,,1,10.1016/j.neuro.2014.08.010
1275048,cell type,NULL,,N27,1,10.1016/j.neuro.2014.08.010
1275049,Subject Source,NULL,,NIEHS,1,10.1016/j.neuro.2014.08.010
1275050,particle concentration,0.5,parts per million,,2,10.1016/j.neuro.2014.08.010
1275051,Duration Exposure,18,hours,,2,10.1016/j.neuro.2014.08.010
1275052,cell type,NULL,,N27,2,10.1016/j.neuro.2014.08.010
1275053,Subject Source,NULL,,NIEHS,2,10.1016/j.neuro.2014.08.010
1275054,particle concentration,0.5,parts per million,,3,10.1016/j.neuro.2014.08.010
1275055,Duration Exposure,18,hours,,3,10.1016/j.neuro.2014.08.010
1275056,cell type,NULL,,N27,3,10.1016/j.neuro.2014.08.010
1275057,Subject Source,NULL,,NIEHS,3,10.1016/j.neuro.2014.08.010
1275058,particle concentration,0.5,parts per million,,4,10.1016/j.neuro.2014.08.010
1275059,Duration Exposure,18,hours,,4,10.1016/j.neuro.2014.08.010
1275060,cell type,NULL,,N27,4,10.1016/j.neuro.2014.08.010
1275061,Subject Source,NULL,,NIEHS,4,10.1016/j.neuro.2014.08.010
1275062,particle concentration,1,parts per million,,5,10.1016/j.neuro.2014.08.010
1275063,Duration Exposure,18,hours,,5,10.1016/j.neuro.2014.08.010
1275064,cell type,NULL,,N27,5,10.1016/j.neuro.2014.08.010
1275065,Subject Source,NULL,,NIEHS,5,10.1016/j.neuro.2014.08.010
1275066,particle concentration,1,parts per million,,6,10.1016/j.neuro.2014.08.010
1275067,Duration Exposure,18,hours,,6,10.1016/j.neuro.2014.08.010
1275068,cell type,NULL,,N27,6,10.1016/j.neuro.2014.08.010
1275069,Subject Source,NULL,,NIEHS,6,10.1016/j.neuro.2014.08.010
1275070,particle concentration,1,parts per million,,7,10.1016/j.neuro.2014.08.010
1275071,Duration Exposure,18,hours,,7,10.1016/j.neuro.2014.08.010
1275072,cell type,NULL,,N27,7,10.1016/j.neuro.2014.08.010
1275073,Subject Source,NULL,,NIEHS,7,10.1016/j.neuro.2014.08.010
1275074,particle concentration,1,parts per million,,8,10.1016/j.neuro.2014.08.010
1275075,Duration Exposure,18,hours,,8,10.1016/j.neuro.2014.08.010
1275076,cell type,NULL,,N27,8,10.1016/j.neuro.2014.08.010
1275077,Subject Source,NULL,,NIEHS,8,10.1016/j.neuro.2014.08.010
1275078,particle concentration,3,parts per million,,9,10.1016/j.neuro.2014.08.010
1275079,Duration Exposure,18,hours,,9,10.1016/j.neuro.2014.08.010
1275080,cell type,NULL,,N27,9,10.1016/j.neuro.2014.08.010
1275081,Subject Source,NULL,,NIEHS,9,10.1016/j.neuro.2014.08.010
1275082,particle concentration,3,parts per million,,10,10.1016/j.neuro.2014.08.010
1275083,Duration Exposure,18,hours,,10,10.1016/j.neuro.2014.08.010
1275084,cell type,NULL,,N27,10,10.1016/j.neuro.2014.08.010
1275085,Subject Source,NULL,,NIEHS,10,10.1016/j.neuro.2014.08.010
1275086,particle concentration,3,parts per million,,11,10.1016/j.neuro.2014.08.010
1275087,Duration Exposure,18,hours,,11,10.1016/j.neuro.2014.08.010
1275088,cell type,NULL,,N27,11,10.1016/j.neuro.2014.08.010
1275089,Subject Source,NULL,,NIEHS,11,10.1016/j.neuro.2014.08.010
1275090,particle concentration,3,parts per million,,12,10.1016/j.neuro.2014.08.010
1275091,Duration Exposure,18,hours,,12,10.1016/j.neuro.2014.08.010
1275092,cell type,NULL,,N27,12,10.1016/j.neuro.2014.08.010
1275093,Subject Source,NULL,,NIEHS,12,10.1016/j.neuro.2014.08.010
1275094,particle concentration,5,parts per million,,13,10.1016/j.neuro.2014.08.010
1275095,Duration Exposure,18,hours,,13,10.1016/j.neuro.2014.08.010
1275096,cell type,NULL,,N27,13,10.1016/j.neuro.2014.08.010
1275097,Subject Source,NULL,,NIEHS,13,10.1016/j.neuro.2014.08.010
1275098,particle concentration,5,parts per million,,14,10.1016/j.neuro.2014.08.010
1275099,Duration Exposure,18,hours,,14,10.1016/j.neuro.2014.08.010
1275100,cell type,NULL,,N27,14,10.1016/j.neuro.2014.08.010
1275101,Subject Source,NULL,,NIEHS,14,10.1016/j.neuro.2014.08.010
1275102,particle concentration,5,parts per million,,15,10.1016/j.neuro.2014.08.010
1275103,Duration Exposure,18,hours,,15,10.1016/j.neuro.2014.08.010
1275104,cell type,NULL,,N27,15,10.1016/j.neuro.2014.08.010
1275105,Subject Source,NULL,,NIEHS,15,10.1016/j.neuro.2014.08.010
1275106,particle concentration,5,parts per million,,16,10.1016/j.neuro.2014.08.010
1275107,Duration Exposure,18,hours,,16,10.1016/j.neuro.2014.08.010
1275108,cell type,NULL,,N27,16,10.1016/j.neuro.2014.08.010
1275109,Subject Source,NULL,,NIEHS,16,10.1016/j.neuro.2014.08.010
1275110,particle concentration,0.5,parts per million,,17,10.1016/j.neuro.2014.08.010
1275111,Duration Exposure,18,hours,,17,10.1016/j.neuro.2014.08.010
1275112,cell type,NULL,,N27,17,10.1016/j.neuro.2014.08.010
1275113,Subject Source,NULL,,NIEHS,17,10.1016/j.neuro.2014.08.010
1275114,particle concentration,0.5,parts per million,,18,10.1016/j.neuro.2014.08.010
1275115,Duration Exposure,18,hours,,18,10.1016/j.neuro.2014.08.010
1275116,cell type,NULL,,N27,18,10.1016/j.neuro.2014.08.010
1275117,Subject Source,NULL,,NIEHS,18,10.1016/j.neuro.2014.08.010
1275118,particle concentration,0.5,parts per million,,19,10.1016/j.neuro.2014.08.010
1275119,Duration Exposure,18,hours,,19,10.1016/j.neuro.2014.08.010
1275120,cell type,NULL,,N27,19,10.1016/j.neuro.2014.08.010
1275121,Subject Source,NULL,,NIEHS,19,10.1016/j.neuro.2014.08.010
1275122,particle concentration,0.5,parts per million,,20,10.1016/j.neuro.2014.08.010
1275123,Duration Exposure,18,hours,,20,10.1016/j.neuro.2014.08.010
1275124,cell type,NULL,,N27,20,10.1016/j.neuro.2014.08.010
1275125,Subject Source,NULL,,NIEHS,20,10.1016/j.neuro.2014.08.010
1275126,particle concentration,1,parts per million,,21,10.1016/j.neuro.2014.08.010
1275127,Duration Exposure,18,hours,,21,10.1016/j.neuro.2014.08.010
1275128,cell type,NULL,,N27,21,10.1016/j.neuro.2014.08.010
1275129,Subject Source,NULL,,NIEHS,21,10.1016/j.neuro.2014.08.010
1275130,particle concentration,1,parts per million,,22,10.1016/j.neuro.2014.08.010
1275131,Duration Exposure,18,hours,,22,10.1016/j.neuro.2014.08.010
1275132,cell type,NULL,,N27,22,10.1016/j.neuro.2014.08.010
1275133,Subject Source,NULL,,NIEHS,22,10.1016/j.neuro.2014.08.010
1275134,particle concentration,1,parts per million,,23,10.1016/j.neuro.2014.08.010
1275135,Duration Exposure,18,hours,,23,10.1016/j.neuro.2014.08.010
1275136,cell type,NULL,,N27,23,10.1016/j.neuro.2014.08.010
1275137,Subject Source,NULL,,NIEHS,23,10.1016/j.neuro.2014.08.010
1275138,particle concentration,1,parts per million,,24,10.1016/j.neuro.2014.08.010
1275139,Duration Exposure,18,hours,,24,10.1016/j.neuro.2014.08.010
1275140,cell type,NULL,,N27,24,10.1016/j.neuro.2014.08.010
1275141,Subject Source,NULL,,NIEHS,24,10.1016/j.neuro.2014.08.010
1275142,particle concentration,3,parts per million,,25,10.1016/j.neuro.2014.08.010
1275143,Duration Exposure,18,hours,,25,10.1016/j.neuro.2014.08.010
1275144,cell type,NULL,,N27,25,10.1016/j.neuro.2014.08.010
1275145,Subject Source,NULL,,NIEHS,25,10.1016/j.neuro.2014.08.010
1275146,particle concentration,3,parts per million,,26,10.1016/j.neuro.2014.08.010
1275147,Duration Exposure,18,hours,,26,10.1016/j.neuro.2014.08.010
1275148,cell type,NULL,,N27,26,10.1016/j.neuro.2014.08.010
1275149,Subject Source,NULL,,NIEHS,26,10.1016/j.neuro.2014.08.010
1275150,particle concentration,3,parts per million,,27,10.1016/j.neuro.2014.08.010
1275151,Duration Exposure,18,hours,,27,10.1016/j.neuro.2014.08.010
1275152,cell type,NULL,,N27,27,10.1016/j.neuro.2014.08.010
1275153,Subject Source,NULL,,NIEHS,27,10.1016/j.neuro.2014.08.010
1275154,particle concentration,3,parts per million,,28,10.1016/j.neuro.2014.08.010
1275155,Duration Exposure,18,hours,,28,10.1016/j.neuro.2014.08.010
1275156,cell type,NULL,,N27,28,10.1016/j.neuro.2014.08.010
1275157,Subject Source,NULL,,NIEHS,28,10.1016/j.neuro.2014.08.010
1275158,particle concentration,5,parts per million,,29,10.1016/j.neuro.2014.08.010
1275159,Duration Exposure,18,hours,,29,10.1016/j.neuro.2014.08.010
1275160,cell type,NULL,,N27,29,10.1016/j.neuro.2014.08.010
1275161,Subject Source,NULL,,NIEHS,29,10.1016/j.neuro.2014.08.010
1275162,particle concentration,5,parts per million,,30,10.1016/j.neuro.2014.08.010
1275163,Duration Exposure,18,hours,,30,10.1016/j.neuro.2014.08.010
1275164,cell type,NULL,,N27,30,10.1016/j.neuro.2014.08.010
1275165,Subject Source,NULL,,NIEHS,30,10.1016/j.neuro.2014.08.010
1275166,particle concentration,5,parts per million,,31,10.1016/j.neuro.2014.08.010
1275167,Duration Exposure,18,hours,,31,10.1016/j.neuro.2014.08.010
1275168,cell type,NULL,,N27,31,10.1016/j.neuro.2014.08.010
1275169,Subject Source,NULL,,NIEHS,31,10.1016/j.neuro.2014.08.010
1275170,particle concentration,5,parts per million,,32,10.1016/j.neuro.2014.08.010
1275171,Duration Exposure,18,hours,,32,10.1016/j.neuro.2014.08.010
1275172,cell type,NULL,,N27,32,10.1016/j.neuro.2014.08.010
1275173,Subject Source,NULL,,NIEHS,32,10.1016/j.neuro.2014.08.010
