AssayID,publication_DOI,AssayType,AssayName,medium_MediumID,medium_publication_DOI,material_MaterialID,material_publication_DOI
145,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
146,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
147,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
148,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
149,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
150,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
151,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
152,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
153,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
154,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
155,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
156,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
157,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
158,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
159,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
160,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
161,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
162,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,No Publication
163,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
164,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
165,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,1,No Publication
166,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,1,No Publication
167,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,1,No Publication
168,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,1,No Publication
169,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,1,No Publication
170,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,1,No Publication
171,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,2,10.1021/acs.est.5b01041
172,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,2,10.1021/acs.est.5b01041
173,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,2,10.1021/acs.est.5b01041
174,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,2,10.1021/acs.est.5b01041
175,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,2,10.1021/acs.est.5b01041
176,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,2,10.1021/acs.est.5b01041
177,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
178,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
179,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
180,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
181,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
182,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
183,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
184,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
185,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
186,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
187,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
188,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
189,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
190,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
191,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
192,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
193,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
194,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
